Author_id,Isbn
1,9780195153446
2,9780195153446
3,9780002005012
4,9780060973124
5,9780374157067
6,9780393045215
7,9780399135781
8,9780425176429
9,9780671870430
10,9780671870430
11,9780679425601
12,9780743226783
13,9780771074677
14,9780806521213
15,9780887841743
16,9781552041772
17,9781558746213
18,9781558746213
19,9781558746213
20,9781567407785
21,9781567407785
22,9781575663937
23,9781881320180
24,9780440234746
25,9780452264465
26,9780609804612
27,9780609804612
28,9780609804612
29,9781841721521
30,9781841721521
31,9781841721521
32,9781879384491
33,9780061076039
34,9780439095020
35,9780689821165
36,9780689821165
37,9780689821165
38,9780971880108
39,9780345402875
39,9780345417626
40,9780684823805
41,9780375759772
42,9780425163092
43,9783404921034
44,9783404921034
45,9783404921034
46,9783442353866
47,9783442353866
48,9783442410668
49,9783442446933
50,9783442446933
51,9780375406324
52,9780446310789
53,9780449005613
54,9780060168018
55,9780380782437
56,9780553212150
57,9780671765378
58,9780061099687
59,9780553582901
60,9780671888589
59,9780553582741
61,9780425182901
62,9780425186305
63,9780440223573
64,9780812523874
65,9780842342704
66,9780842342704
24,9780440225706
67,9780060914066
68,9780156047623
69,9780245542954
70,9780380715893
71,9780553280333
72,9780553280333
73,9780553280333
74,9780961769949
75,9780964778313
76,9780671623241
77,9780679810308
77,9780679865698
78,9782070423200
79,9780345260314
80,9780394743745
81,9780425117743
7,9780804106306
82,9781853262401
83,9780312970246
84,9780312970246
85,9781853260056
86,9781414035000
87,9781414035000
88,9780060938413
89,9780140067477
53,9780345465085
90,9780451625885
91,9781558531024
92,9780441783588
93,9780394895895
94,9781569871218
95,9780375410536
96,9780966986105
97,9780871133755
98,9780340767931
99,9780743403849
100,9780060930363
101,9780060177584
102,9780071416337
103,9780071416337
104,9780375509032
105,9780553062045
106,9780316769488
107,9780679429227
60,9780671867157
108,9780312252618
109,9780312261597
110,9780316748643
111,9780316973748
112,9780385235945
113,9780446677455
114,9780446677455
115,9780451166890
116,9780553347593
117,9780671621001
118,9780679763970
119,9780684822730
120,9780684822730
121,9780786868711
122,9780671864767
123,9780671864767
124,9780671521516
125,9780440222309
126,9780440222309
127,9780312953454
128,9780446608657
129,9780446612548
130,9780446612548
128,9780446612616
131,9780451208088
132,9780553584387
133,9780671027360
134,9780812575958
135,9780316735735
136,9780743439749
137,9780345372703
138,9780380619450
137,9780446325806
139,9780451406927
140,9780451406927
141,9780451406927
142,9780671042851
143,9780743249997
144,9780840734532
145,9780425184226
146,9780375500763
147,9789724119373
148,9780451205193
149,9780060929794
150,9780060976842
151,9780061099328
60,9780671004576
152,9780446601641
153,9780330484510
154,9780385721790
155,9780393020373
156,9781900850308
157,9781903019696
158,9780345425294
159,9780451410313
160,9780553583465
161,9780380778553
162,9780451525222
163,9780451525222
164,9780002740234
165,9780385336772
166,9780440949428
167,9780505524997
168,9780140252804
169,9780451452757
170,9780812575484
152,9780446517478
171,9780060801267
172,9780061030147
173,9780061030147
174,9780140250961
175,9780446527163
176,9780671461492
177,9780385337632
178,9780395755143
179,9780451206671
180,9780330332774
56,9780486284736
181,9780486284736
182,9780671021740
182,9780671047610
182,9780671504281
183,9780399138683
184,9780785263296
185,9780785263296
186,9780830714018
187,9780345354938
188,9780553278224
189,9783150000335
190,9783150000335
188,9783257203653
191,9783257203653
192,9783257207521
193,9783257207521
188,9783257208627
188,9783257208634
194,9783257208634
188,9783257208665
195,9783257208665
188,9783257210453
196,9783257210453
188,9783257212051
188,9783257212426
188,9783257214154
197,9783257214154
198,9783257214154
188,9783257216417
199,9783257233056
200,9783257233056
201,9783423113601
202,9783423116718
203,9783423241489
204,9783426605684
205,9783426605684
206,9783453212152
207,9783462021097
208,9783492045643
209,9783492045643
210,9783492045643
211,9783498020866
212,9783498020866
213,9783499110696
214,9783499110696
215,9783499110696
216,9783499110696
213,9783499151507
214,9783499151507
215,9783499151507
217,9783518111000
193,9783518111000
218,9783548254265
206,9783570300091
219,9783570300091
220,9783596292646
221,9780060977498
222,9780312872687
129,9780316602907
129,9780316693004
49,9780345311399
39,9780345378491
49,9780345404794
223,9780345433176
224,9780375400117
225,9780375705854
226,9780380717019
227,9780380718337
228,9780380754502
229,9780380754502
230,9780380766543
230,9780380807864
231,9780385316897
24,9780385497466
24,9780385508049
232,9780385509459
24,9780385511612
233,9780385730587
234,9780425164402
235,9780440234968
129,9780446605489
236,9780446610391
237,9780449006528
223,9780449911006
142,9780451162076
238,9780451186645
239,9780452282155
240,9780515132908
241,9780553580389
242,9780590598842
243,9780590629713
61,9780671023614
133,9780671027384
244,9780684848785
133,9780743486224
245,9780786863983
246,9780803251717
247,9780804117937
248,9781400031801
17,9781558742628
18,9781558742628
249,9781558742628
250,9780060987107
251,9780151008117
252,9780375704963
253,9780525947646
254,9780804111355
17,9781558744158
18,9781558744158
19,9781558744158
255,9780435272685
135,9780316782500
256,9780061020636
256,9780060013110
256,9780060199562
257,9780060527792
258,9780060527792
259,9780060563073
260,9780060809027
256,9780061040962
261,9780061040962
256,9780061050473
256,9780061052514
